source_id,source_type,category,priority,technical_details,suggested_title
R001,app_store_review,Bug,Critical,"Device: Samsung Galaxy S21 Android 13; Version: 3.0.1; Issue: App crash on task list open; Steps: Open app > tap task list","[BUG-CRITICAL] App crashes on task list open - Android 3.0.1"
R002,app_store_review,Bug,High,"Device: iPhone 14 iOS 17.2; Version: 3.0.1; Issue: Login fails with Session Expired error","[BUG-HIGH] Login fails with Session Expired error - iOS 3.0.1"
R003,app_store_review,Praise,Low,"N/A","[PRAISE] Positive review - calendar sync feature"
R004,app_store_review,Feature Request,Medium,"N/A; Feature: Dark mode for night-time usage","[FEATURE] Add dark mode option"
R005,app_store_review,Bug,Critical,"Device: Pixel 7 Android 14; Version: 3.0.1; Issue: Data loss during cross-device sync","[BUG-CRITICAL] Data loss during cross-device sync"
R006,app_store_review,Feature Request,Medium,"N/A; Feature: Home screen widget for quick task addition","[FEATURE] Add home screen widget for quick task entry"
R007,app_store_review,Bug,High,"Device: OnePlus 11 Android 13; Version: 3.0.1; Issue: Push notification reminders not firing","[BUG-HIGH] Push notifications broken after 3.0.1 update"
R008,app_store_review,Praise,Low,"N/A","[PRAISE] Positive review - collaboration features"
R009,app_store_review,Spam,Low,"N/A","[SPAM] Promotional spam content"
R010,app_store_review,Feature Request,Medium,"N/A; Feature: Recurring/repeating tasks","[FEATURE] Add recurring task scheduling"
R011,app_store_review,Complaint,Low,"N/A; Issue: Pricing perceived as too high","[COMPLAINT] Premium pricing too expensive vs competitors"
R012,app_store_review,Bug,High,"Device: iPhone 13 Pro iOS 17.1; Version: 3.0.1; Issue: 30-second freeze on dashboard launch","[BUG-HIGH] Dashboard freezes 30 seconds on open - iOS 3.0.1"
R013,app_store_review,Praise,Low,"N/A","[PRAISE] Positive review - team task sharing"
R014,app_store_review,Feature Request,Medium,"N/A; Feature: Google Calendar integration","[FEATURE] Integrate with Google Calendar"
R015,app_store_review,Bug,High,"Device: Pixel 6 Android 13; Version: 3.0.1; Issue: Random logouts causing unsaved work loss","[BUG-HIGH] Random logout and unsaved work loss"
R016,app_store_review,Complaint,Medium,"N/A; Issue: 2-week unresolved support ticket","[COMPLAINT] Unresponsive customer support"
R017,app_store_review,Feature Request,High,"N/A; Feature: Offline mode for task access without internet","[FEATURE] Add offline mode support"
R018,app_store_review,Praise,Low,"N/A","[PRAISE] Positive review - UI and value"
R019,app_store_review,Bug,Critical,"Device: Samsung Galaxy A52 Android 12; Version: 3.0.1; Issue: Crash on startup after update","[BUG-CRITICAL] Crash on startup - Android 3.0.1"
R020,app_store_review,Bug,Medium,"Version: 3.0.0; Issue: Slow search performance 10+ seconds","[BUG-MEDIUM] Search performance degradation"
E001,support_email,Bug,Critical,"Device: iPhone 15 Pro iOS 17.3; Version: 3.0.1; Steps: Open app > Tap Projects tab > crash","[BUG-CRITICAL] App crashes on Projects tab - iOS 3.0.1"
E002,support_email,Feature Request,Low,"N/A; Feature: Dark mode for night usage","[FEATURE] Dark mode requested by premium subscriber"
E003,support_email,Bug,Critical,"Version: 3.0.1; Error: Authentication token invalid; Tried: password reset + cache clear","[BUG-CRITICAL] Authentication token invalid after 3.0.1 update"
E004,support_email,Feature Request,Medium,"N/A; Feature: Slack integration for task completion notifications","[FEATURE] Slack integration for task completion notifications"
E005,support_email,Bug,Critical,"Device 1: iPad Pro M2 iPadOS 17.2; Device 2: iPhone 14 iOS 17.2; Version: 3.0.1; Issue: All tasks deleted after sync","[BUG-CRITICAL] Complete project data loss after cross-device sync"
E006,support_email,Bug,High,"Device: Samsung Galaxy S22 Android 13; Version: 3.0.1; Issue: Excessive battery drain","[BUG-HIGH] Excessive battery drain after 3.0.1 update"
E007,support_email,Feature Request,Medium,"N/A; Feature: Export task lists and project summaries to PDF","[FEATURE] Add PDF export for task lists and project reports"
E008,support_email,Bug,High,"Device: Google Pixel 7 Android 14; Version: 3.0.1; Issue: Push notifications not working","[BUG-HIGH] Push notification reminders not working - Android"
E009,support_email,Praise,Low,"N/A","[PRAISE] Positive testimonial from converted user"
E010,support_email,Bug,High,"Device: OnePlus 12 Android 14; Version: 3.0.1; Issue: 20-30 second UI freeze on app launch","[BUG-HIGH] Dashboard UI freeze 20-30 seconds on launch"
